Id	Year	Genre
733	1999	Horror|Sci-Fi|Thriller
734	N/A	Action|Crime|Romance
735	1995	Animation|Children's
736	1994	Children's|Comedy
737	1942	Comedy
738	1990	Drama
739	1990	Drama
740	1997	Drama
741	1987	Comedy
742	1997	Drama
743	N/A	Adventure|Animation|Children's|Musical
744	1996	Comedy
745	1988	Action|Romance|Thriller
746	N/A	Comedy
747	1997	Comedy|Romance
748	1996	Comedy|Romance
749	1986	Comedy|Horror|Musical
750	1947	Western
751	1989	N/A
752	1984	Comedy
753	1999	Drama
754	2000	Children's|Comedy
755	1996	Action|Sci-Fi
756	1995	Comedy|Drama
757	1994	Documentary
758	1985	Drama
759	1980	N/A
760	1996	Romance
761	1994	Drama
762	N/A	Horror|Sci-Fi|Thriller
763	1995	Comedy|Romance
764	1959	Horror|Sci-Fi
765	1944	Crime|Film-Noir|Mystery
766	1996	Action|Adventure|Thriller
767	N/A	Horror
768	2000	N/A
769	1999	Drama
770	1998	Comedy|Crime|Mystery|Thriller
771	1998	Action|Thriller
772	1998	Horror
773	1998	Crime|Drama
774	1923	Comedy
775	1995	Documentary
776	1998	Action|Thriller
777	1998	Action|Sci-Fi|Thriller
778	1998	Comedy|Romance
779	1963	Animation|Children's
780	1993	Drama|Western
781	1955	Comedy|Romance|Thriller
782	1949	Drama
783	1999	Children's|Comedy
784	1986	Action|Animation|Children's|Sci-Fi|Thriller|War
785	1940	Adventure
786	1995	Drama|Romance
787	1981	Comedy
788	2000	Comedy
789	1952	Adventure
790	2000	Drama
791	1994	Drama|Romance
792	1999	Drama
793	1995	Comedy|Drama
794	N/A	Action|Horror|Sci-Fi|Thriller
795	1987	N/A
796	1981	Action|Adventure|Animation|Horror|Sci-Fi
797	1999	Animation|Children's|Comedy
798	1932	Thriller
799	1991	Comedy
800	1999	Adventure|Comedy|Sci-Fi
801	1997	Action|Adventure|Sci-Fi|Thriller
802	1982	Horror
803	2000	Comedy
804	1997	N/A
805	1994	Comedy|Romance
806	1989	Horror|Sci-Fi|Thriller
807	N/A	Comedy
808	1996	Comedy
809	1999	Comedy|Crime|Thriller
810	1999	Drama
811	1992	Horror
812	1984	Drama|Sci-Fi
813	1986	Action|Sci-Fi|Thriller|War
814	1995	Drama|War
815	N/A	Drama|Romance
816	1983	Action|Drama|Romance|Thriller
817	1998	Crime|Drama
818	1990	N/A
819	1987	Film-Noir|Mystery|Thriller
820	1996	Drama
821	1994	Comedy
822	1999	Drama
823	1996	Sci-Fi|Thriller
824	1987	Action|Adventure|Sci-Fi
826	1999	Drama
827	1999	Comedy|Romance
828	1967	Drama
829	1994	Crime|Drama|Thriller
830	1999	Drama
831	1948	N/A
832	2000	Action|Sci-Fi
833	1964	N/A
834	N/A	Action|War
835	1994	Documentary
836	1975	Comedy|Romance
837	N/A	Action|Adventure|Comedy|Romance
838	1994	Horror
839	1999	N/A
840	1994	Drama|Thriller
841	1987	Action|Adventure|Comedy|Horror
842	1996	Comedy
843	1992	Action|Comedy
844	1999	N/A
845	1990	Action|Adventure|Romance|Thriller
846	1986	Horror
847	1981	Comedy|Romance
848	1997	N/A
849	N/A	Horror
850	1997	Crime
851	1935	Horror
853	1964	N/A
854	1988	N/A
855	1997	Drama
856	1996	Action|Thriller
857	1933	Comedy|War
858	1955	N/A
859	1973	N/A
860	1985	Adventure|Fantasy|Romance
861	2000	Comedy|Romance
862	1997	Drama
863	1977	N/A
864	1952	N/A
865	1965	Drama
866	1997	Action|Drama|War
867	1986	Comedy
868	1997	Documentary
869	1985	Comedy
871	1990	Action|Children's|Fantasy
872	1990	N/A
873	1997	Children's|Fantasy
874	1998	Action|Drama
875	N/A	N/A
876	N/A	Comedy
877	N/A	Documentary
878	1998	Action|Adventure|Sci-Fi
879	1997	N/A
880	1985	Drama|Fantasy
881	1956	Sci-Fi
882	1991	Comedy|Sci-Fi
883	1999	Drama
884	1998	Crime|Drama
885	1998	Drama
886	1944	Horror
887	1985	Comedy|Romance
888	2000	Crime|Thriller
889	1994	Comedy
890	1995	Comedy|Romance
891	1994	Comedy
892	1983	Horror
893	1953	Drama|War
894	1990	Action|Drama
895	1999	Drama|Romance
896	1988	Horror
897	1985	Comedy
898	1935	Comedy
899	1997	Drama
900	1994	Action|Adventure
901	1936	Comedy
902	1990	Action|Comedy
903	1993	N/A
904	1986	N/A
905	1958	Horror
906	1998	Documentary
907	N/A	Horror
908	1983	Horror
909	1996	N/A
910	1998	Drama
911	1938	Drama
912	1984	Drama
913	1990	Horror
914	1990	Action|Sci-Fi|Thriller
915	1994	Comedy|Mystery|Romance
916	1998	Action|Drama|Romance
917	1985	Comedy|Horror
918	1993	Horror
920	1967	N/A
921	1999	N/A
922	1945	Drama
923	1972	Western
924	1996	Comedy|Romance
926	1997	Drama
927	N/A	Comedy|Crime
928	1969	Action|Comedy|Western
929	1992	Animation|Comedy
930	1999	Comedy
931	1982	Drama|Musical|War
932	1999	Drama
934	N/A	Comedy
935	1996	Drama
936	1994	Drama|Romance
937	N/A	Adventure|Musical
938	1980	Drama
939	N/A	Drama
940	1970	Drama
941	1994	Drama
942	1997	Crime|Drama|Mystery
943	1996	Comedy|Drama
944	1997	Action|Thriller
946	1998	Drama|Romance
947	1992	Children's|Comedy
948	1962	Film-Noir|Thriller
949	1998	Comedy
950	1993	N/A
951	1998	Children's|Comedy
952	2000	Comedy|Romance
953	1998	Comedy
954	1998	N/A
955	1995	Drama|Romance
956	1971	Children's|Comedy
957	1999	Comedy
958	N/A	N/A
959	1999	Drama|Romance
960	N/A	Comedy
961	1990	Action|Adventure|Comedy
962	1978	Drama|War
963	1997	Children's|Comedy
964	1993	Thriller
965	1996	Drama
966	1999	Action|Thriller
967	1996	Comedy|Crime
968	N/A	N/A
969	1994	Drama
970	N/A	N/A
971	1998	Children's|Comedy
973	1999	Comedy
974	1984	Adventure|Children's|Fantasy
975	1997	Drama
976	1995	Western
977	1992	Drama
978	1999	Drama
979	1996	Drama
981	1979	Drama|War
982	1999	Comedy
983	1986	Comedy
984	1995	Drama
985	1996	Drama
986	1968	Adventure|Sci-Fi
987	1958	Drama|Musical
988	1989	N/A
989	1997	Comedy|Horror
990	1998	Action|Thriller
991	N/A	Adventure|Animation|Children's
993	1995	Drama
994	1984	Children's|Comedy
995	1997	Comedy|Drama
996	2000	N/A
997	1999	Comedy
998	1998	Comedy
999	1978	Action|War
1000	1998	Comedy|Romance
1001	1984	N/A
1002	1979	Action|Horror|Sci-Fi|Thriller
1004	1992	Horror
1005	1973	Drama
1006	1946	Film-Noir|Romance|Thriller
1007	1994	Comedy|Drama
1008	1998	Drama
1009	1998	Crime
1010	1963	Adventure|War
1011	1998	Mystery|Sci-Fi|Thriller
1012	1948	Crime|Film-Noir|Thriller
1013	1973	Action|Crime
1014	1951	Drama
1015	1986	Drama
1016	N/A	Horror
1017	1943	Animation|Children's|Comedy
1018	N/A	N/A
1019	1994	Crime
1020	1996	Drama
1021	1992	N/A
1022	1940	Drama
1023	1997	N/A
1024	1993	Comedy|Romance
1026	1998	Horror|Thriller
1027	1995	Drama|Romance
1028	1955	Sci-Fi
1029	1966	N/A
1030	1986	Adventure|Children's|Fantasy
1031	1990	N/A
1032	1991	Action|Sci-Fi|Thriller
1033	1997	Horror|Thriller
1034	1978	N/A
1035	1994	Animation|Comedy|Thriller
1036	1995	Comedy
1037	1986	Animation|Children's
1038	1998	Crime
1039	1995	Drama|Thriller
1040	1983	Drama|Romance
1041	1986	Drama
1042	1999	Comedy
1043	1988	Comedy|Fantasy
1044	1984	Drama
1045	1930	Mystery|Thriller
1047	1996	Comedy
1048	1978	Comedy
1049	N/A	Horror
1050	1957	Sci-Fi|Thriller
1051	1995	Drama
1052	N/A	Comedy|Drama
1053	N/A	Horror
1054	1995	Horror
1055	1997	Drama|War
1056	1995	Action|Adventure|Mystery|Sci-Fi
1057	1988	Action|Comedy|Western
1058	2000	Action
1059	1946	Drama
1060	1993	Drama
1061	1994	Children's|Comedy|Fantasy
1062	2000	Comedy
1063	1995	Comedy
1064	1995	Horror
1065	1988	Drama
1066	1997	Documentary
1067	1994	Drama
1068	1986	Drama
1069	1930	War
1070	1959	Drama|Thriller
1071	1983	Comedy
1072	1994	Action
1073	1998	Drama
1074	1996	Comedy|Romance
1075	1965	Comedy
1076	1996	Comedy|Thriller
1077	1993	Comedy|Mystery
1078	1993	Comedy
1079	2000	N/A
1080	1997	Romance
1081	1996	Drama
1082	N/A	Comedy
1083	1987	Adventure|Comedy
1084	1993	Drama
1085	1995	Action|Mystery|Thriller
1086	1999	Drama
1087	1996	Documentary
1088	1998	Documentary
1089	1996	Drama
1090	1977	Horror
1091	1969	Western
1092	1997	Action|Thriller
1093	N/A	Animation|Children's
1094	N/A	Drama
1095	1979	Comedy
1096	1995	Drama
1097	1993	Action|Drama
1098	1965	Musical
1099	1954	Comedy|Drama
1100	1979	Horror
1101	2000	Animation|Children's|Comedy
1102	1998	Children's|Comedy|Drama
1103	1995	Comedy
1104	1998	N/A
1105	1994	Drama
1106	1994	Action
1107	1970	Comedy
1108	1993	Comedy
1109	1967	Comedy|War
1110	N/A	Drama
1111	1960	Adventure|Children's
1112	1977	Horror
1113	1995	N/A
1114	1960	Horror|Thriller
1115	N/A	Horror|Sci-Fi|Thriller
1116	1999	Documentary
1117	1997	Drama|Romance
1118	1999	Drama
1119	2000	Drama
1120	N/A	Drama
1121	1986	Comedy
1122	1999	Drama
1123	1991	Comedy
1124	1993	Comedy
1125	1992	Drama|Mystery
1126	1994	Drama
1127	1940	Drama|Romance|Western
1128	1995	Drama|Thriller
1129	1995	Documentary
1130	1982	Comedy
1131	1994	Drama
1132	1973	Comedy|Sci-Fi
1133	1971	Drama
1134	1972	Musical|War
1135	1983	Comedy
1136	1996	Drama
1137	N/A	War
1138	1999	Comedy|Romance
1139	N/A	Drama
1140	1998	Comedy|Drama
1141	1990	N/A
1142	1997	Drama
1143	1998	Comedy
1144	1993	Comedy
1145	1994	Documentary
1146	1947	Crime|Film-Noir
1147	1998	Animation|Musical
1148	1995	Drama
1149	1995	Action|Sci-Fi|Thriller
1150	N/A	Comedy|Drama
1151	1995	Horror|Sci-Fi
1152	1998	Drama
1153	1964	N/A
1154	1985	Drama|Mystery
1156	N/A	Action|Adventure|Fantasy
1157	1998	Comedy
1158	1994	Drama|Horror
1159	N/A	Drama
1160	N/A	Comedy|Drama|Romance
1161	1986	N/A
1162	1991	Drama
1163	1996	Comedy
1164	1981	Comedy
1165	1996	Crime|Drama|Mystery
1166	N/A	Documentary
1167	1997	Documentary
1168	1990	Comedy|Drama|Romance
