ID	Gender	Age	Occupation
351	F	18	4
352	M	35	11
353	F	25	18
354	M	35	20
355	M	50	16
356	M	45	2
357	F	35	7
358	F	18	3
359	M	45	N/A
360	M	18	0
361	M	35	3
362	M	25	15
363	N/A	25	4
364	M	18	4
365	F	35	7
366	F	56	6
367	M	45	0
368	M	50	1
369	M	50	15
370	M	25	N/A
371	M	25	0
372	F	18	3
373	M	35	6
374	M	18	4
375	M	25	20
376	M	18	4
377	N/A	18	N/A
378	M	25	7
379	M	25	17
380	N/A	25	7
381	M	N/A	0
382	M	50	1
383	F	N/A	N/A
384	M	18	N/A
385	M	1	1
386	M	N/A	4
387	M	35	12
388	M	N/A	2
389	M	18	14
390	M	25	17
391	F	N/A	5
392	N/A	25	2
393	F	56	20
394	M	25	17
395	M	18	4
396	M	56	13
397	F	25	14
398	M	25	20
399	M	25	2
400	M	N/A	10
401	F	25	16
402	N/A	35	12
403	M	25	2
404	F	25	0
405	M	N/A	4
406	M	1	10
407	F	45	1
408	M	25	2
409	M	45	16
410	F	45	1
411	M	25	17
412	M	45	7
413	M	18	0
414	N/A	35	1
415	F	18	4
416	F	25	0
417	M	35	7
418	F	35	6
419	F	35	N/A
420	N/A	25	0
421	M	56	13
422	M	25	0
423	M	50	7
424	F	25	0
425	M	N/A	7
426	M	1	2
427	M	25	17
428	F	45	N/A
429	F	25	1
430	N/A	25	4
431	M	25	0
432	M	18	12
433	F	18	4
434	M	45	17
435	F	35	0
436	N/A	35	2
437	F	18	N/A
438	M	N/A	4
439	M	25	0
440	M	25	17
441	F	25	0
442	M	35	7
443	M	50	16
444	M	56	13
445	N/A	25	12
446	M	45	1
447	M	25	0
448	M	25	12
449	M	25	0
450	M	25	14
451	F	25	N/A
452	M	18	4
453	F	25	7
454	M	25	0
455	M	18	0
456	F	45	16
457	M	56	2
458	M	18	12
459	N/A	1	10
460	F	35	16
461	N/A	25	N/A
462	M	25	20
463	M	25	14
464	N/A	18	4
465	M	25	4
466	M	56	6
467	M	25	4
468	F	25	3
469	M	25	17
470	M	25	0
471	M	18	16
472	M	N/A	N/A
473	M	25	12
474	N/A	56	17
475	M	25	7
476	M	25	16
477	M	18	0
478	M	18	17
479	F	25	N/A
480	M	25	18
481	M	18	5
482	M	N/A	4
483	F	25	N/A
484	F	45	1
485	M	35	7
486	N/A	N/A	N/A
487	M	45	12
488	F	50	1
489	M	35	N/A
490	M	25	1
491	M	35	0
492	F	18	4
493	N/A	50	0
494	N/A	35	4
495	F	18	20
496	F	25	11
497	M	56	13
498	F	50	0
499	F	25	N/A
500	N/A	56	15
501	M	25	7
502	N/A	25	2
503	M	35	6
504	M	N/A	12
505	F	56	13
506	M	18	4
507	M	18	17
508	M	35	20
509	N/A	N/A	12
510	M	35	7
511	F	25	9
512	M	18	4
513	F	35	0
514	M	50	N/A
515	F	50	1
516	M	1	0
517	M	N/A	4
518	M	N/A	4
519	M	35	7
520	M	25	6
521	M	N/A	12
522	M	25	1
523	M	N/A	12
524	F	35	1
525	N/A	25	N/A
526	M	N/A	12
527	M	25	2
528	N/A	25	0
529	M	18	4
530	F	35	5
531	M	50	N/A
532	F	35	N/A
533	M	25	N/A
534	M	45	3
535	N/A	35	20
536	F	N/A	4
537	M	25	12
538	M	35	0
539	N/A	25	7
540	F	18	19
541	M	25	1
542	F	56	1
543	F	25	9
544	M	1	N/A
545	M	25	7
546	M	56	16
547	M	25	4
548	M	18	19
549	M	25	17
550	N/A	N/A	14
551	F	45	0
552	M	N/A	2
553	M	35	7
554	M	45	20
555	M	N/A	16
556	M	25	6
557	M	25	0
558	M	35	12
559	M	25	0
560	F	N/A	13
561	M	25	14
562	F	35	2
563	F	50	0
564	M	35	0
565	M	25	4
566	N/A	25	4
567	M	18	0
568	F	25	15
569	M	25	17
570	M	35	7
571	F	25	6
572	M	35	16
573	F	N/A	1
574	M	N/A	4
575	F	50	16
576	F	25	3
577	M	18	4
578	M	25	1
579	M	18	14
580	M	45	17
581	F	18	N/A
582	F	N/A	N/A
583	M	25	17
584	M	35	17
585	M	1	10
586	F	35	7
587	F	45	2
588	F	45	9
589	M	25	20
590	M	45	6
591	M	25	14
592	M	25	18
593	M	25	14
594	M	N/A	0
595	M	N/A	12
596	M	N/A	12
597	M	45	17
598	M	35	18
599	M	25	12
600	F	25	20
601	M	25	0
602	F	25	1
603	F	25	7
604	F	25	12
605	F	N/A	15
606	M	1	10
607	M	45	N/A
608	F	25	6
609	M	25	17
610	F	35	0
611	M	25	4
612	M	35	17
613	M	56	19
614	M	N/A	6
615	F	18	3
616	M	1	10
617	F	45	N/A
618	M	18	17
619	F	25	11
620	M	56	14
621	M	18	2
622	F	35	0
623	M	35	12
624	M	25	4
625	M	25	15
626	M	N/A	N/A
627	M	N/A	15
628	M	25	7
629	M	18	17
630	N/A	18	0
631	M	25	2
632	M	N/A	9
633	F	25	N/A
634	M	35	17
635	M	25	0
636	F	18	5
637	M	35	17
638	M	45	2
639	F	N/A	6
640	M	N/A	13
641	F	50	6
642	F	25	0
643	F	1	10
644	M	56	13
645	F	25	0
646	F	25	6
647	M	50	13
648	M	18	N/A
649	F	45	1
650	F	56	6
651	M	35	15
652	M	25	7
653	F	35	3
654	M	45	7
655	M	45	1
656	M	56	13
657	F	45	9
658	M	50	20
659	M	18	17
660	M	1	0
661	M	25	N/A
662	M	56	1
663	N/A	35	14
664	F	18	12
665	F	56	N/A
666	M	25	7
667	N/A	18	4
668	N/A	50	7
669	N/A	45	1
670	N/A	25	14
671	N/A	1	10
672	M	25	6
673	M	1	10
674	M	35	3
675	N/A	56	7
676	M	25	12
677	M	25	18
678	M	25	12
679	F	18	19
680	M	25	7
681	N/A	35	7
682	F	18	N/A
683	M	18	N/A
684	F	45	7
685	F	35	20
686	M	N/A	17
687	M	25	7
688	M	18	4
689	F	35	N/A
690	M	50	17
691	M	56	13
692	M	18	4
693	M	35	2
694	M	25	11
695	M	25	16
696	M	N/A	0
697	M	18	4
698	F	25	4
699	N/A	18	4
700	M	35	1
701	N/A	18	17
702	F	25	5
703	F	45	3
704	F	25	N/A
705	F	35	6
706	N/A	1	10
707	M	N/A	1
708	M	35	20
709	F	25	7
710	F	50	5
711	M	18	N/A
712	M	25	N/A
713	M	18	1
714	N/A	18	4
715	F	35	16
716	F	N/A	0
717	N/A	25	17
718	M	50	15
719	F	35	6
720	M	25	11
721	M	35	17
722	N/A	25	17
723	M	18	1
724	F	25	12
725	M	18	4
726	M	18	10
727	M	25	14
728	M	35	7
729	M	1	10
730	M	50	17
731	M	45	16
732	M	35	14
733	M	35	3
734	M	25	17
735	N/A	25	7
736	M	18	N/A
737	M	50	N/A
738	M	35	16
739	M	25	4
740	M	N/A	15
741	M	35	N/A
742	F	35	9
743	M	18	4
744	M	56	15
745	F	45	12
746	F	35	9
747	M	35	17
748	F	1	10
749	F	35	14
750	F	18	3
751	N/A	45	7
752	M	25	0
753	M	25	15
754	M	50	6
755	M	25	12
756	M	35	11
757	N/A	35	7
758	M	35	0
759	F	50	0
760	M	25	0
761	M	35	17
762	M	25	1
763	M	45	17
764	F	45	20
765	M	1	4
766	F	1	10
767	M	45	17
768	M	45	1
769	M	25	0
770	M	25	0
771	M	18	10
772	N/A	N/A	N/A
773	M	45	12
774	M	N/A	4
775	F	18	14
776	F	56	13
777	M	N/A	8
778	M	35	17
779	M	45	14
780	M	45	7
781	M	25	0
782	M	45	17
783	M	35	19
784	M	45	14
785	M	25	18
786	N/A	35	0
787	N/A	25	4
788	F	50	16
789	F	45	14
790	M	35	18
791	M	N/A	17
792	M	25	7
793	M	35	1
794	M	35	17
795	N/A	25	0
796	M	25	7
797	F	18	4
798	M	45	16
799	M	25	6
800	M	35	0
801	M	35	12
802	F	25	1
803	M	45	2
804	M	50	16
805	M	25	N/A
806	M	25	7
807	M	25	12
808	M	50	5
809	F	25	4
810	M	35	18
811	M	35	4
812	F	25	0
813	F	18	4
814	M	N/A	10
815	M	35	0
816	M	25	N/A
817	M	35	17
818	F	50	20
819	M	N/A	14
820	M	25	18
821	M	45	11
822	N/A	N/A	4
823	M	35	11
824	M	56	13
825	M	45	7
826	N/A	50	2
827	F	45	14
828	N/A	25	12
829	F	50	7
830	M	45	17
831	M	25	N/A
832	F	45	20
833	F	25	0
834	F	45	1
835	F	35	7
836	M	25	14
837	M	35	3
838	M	35	12
839	F	35	7
840	N/A	25	4
841	N/A	25	6
842	M	18	1
843	M	18	4
844	M	18	17
845	N/A	35	7
846	M	25	18
847	M	25	4
848	M	18	0
849	F	25	5
850	M	25	N/A
851	F	25	N/A
852	M	25	N/A
853	N/A	N/A	19
854	M	56	13
855	M	1	1
856	M	25	17
857	F	N/A	9
858	F	18	0
859	M	25	4
860	M	18	19
861	M	35	N/A
862	M	35	10
863	M	25	3
864	M	35	5
865	M	25	7
866	M	45	2
867	M	18	4
868	F	1	10
869	M	45	5
870	M	18	4
871	F	25	15
872	N/A	50	N/A
873	M	18	4
874	M	35	1
875	N/A	25	0
876	F	45	0
877	M	45	0
878	F	25	14
879	M	N/A	4
880	M	25	0
881	F	18	N/A
882	F	25	0
883	M	45	18
884	N/A	45	14
885	M	25	20
886	N/A	18	0
887	F	18	4
888	M	25	N/A
889	M	N/A	20
890	F	56	9
891	M	N/A	10
892	F	25	2
893	M	25	2
894	M	35	6
895	M	35	7
896	M	25	7
897	M	N/A	N/A
898	M	45	12
899	M	50	14
900	M	35	7
901	M	45	0
902	M	1	10
903	F	25	3
904	F	45	2
905	F	25	0
906	F	45	12
907	M	35	0
908	M	50	18
909	M	50	14
910	F	25	17
911	M	25	0
912	M	35	1
913	M	18	N/A
914	M	35	16
915	F	18	2
916	M	50	7
917	M	25	20
918	M	25	N/A
919	F	35	11
920	M	35	7
921	M	45	12
922	M	25	7
923	M	25	N/A
924	M	25	11
925	M	25	0
926	M	18	4
927	M	18	N/A
928	F	25	0
929	M	18	4
930	M	35	3
931	M	N/A	7
932	N/A	25	2
933	M	25	19
934	M	18	4
935	M	18	4
936	F	N/A	12
937	F	25	4
938	M	35	1
939	F	N/A	N/A
940	M	25	17
941	M	25	7
942	M	45	N/A
943	F	18	19
944	M	45	18
945	N/A	25	7
946	M	35	1
947	M	35	20
948	M	25	0
949	M	18	7
950	F	50	0
951	F	25	4
952	M	25	5
953	M	18	10
954	M	N/A	12
955	F	35	2
956	M	35	7
957	M	1	0
958	M	35	7
959	M	35	11
960	M	25	N/A
961	M	1	10
962	M	56	5
963	M	1	10
964	F	35	0
965	M	25	7
966	M	25	14
967	N/A	N/A	7
968	F	35	0
969	M	35	20
970	M	25	12
971	M	18	N/A
972	M	25	15
973	M	25	4
974	M	35	14
975	M	25	16
976	M	25	12
977	M	56	12
978	M	18	4
979	M	56	2
980	M	N/A	0
981	N/A	25	7
982	F	50	0
983	F	25	4
984	M	35	17
985	F	1	0
986	M	N/A	0
987	M	35	6
988	N/A	25	7
989	M	25	N/A
990	N/A	35	0
991	F	1	10
992	F	45	6
993	M	25	20
994	M	18	2
995	M	18	4
996	F	25	9
997	M	18	4
998	M	25	7
999	N/A	18	4
1000	M	25	12
1001	M	N/A	15
1002	M	N/A	10
1003	F	18	4
1004	M	18	N/A
1005	M	25	1
1006	F	N/A	16
1007	M	35	N/A
1008	M	50	7
1009	M	25	4
1010	M	45	7
1011	M	45	0
1012	F	25	14
1013	M	35	18
1014	M	18	4
1015	M	N/A	2
1016	M	50	17
1017	M	25	17
1018	N/A	45	15
1019	M	25	12
1020	M	25	1
1021	F	25	4
1022	F	35	14
1023	M	N/A	10
1024	F	25	1
1025	M	18	17
1026	F	25	4
1027	M	45	17
1028	F	45	0
1029	F	25	14
1030	M	1	13
1031	M	35	7
1032	M	18	17
1033	M	50	1
1034	F	25	0
1035	M	25	16
1036	F	25	20
1037	F	25	1
1038	M	25	15
1039	M	50	0
1040	N/A	1	10
1041	M	18	12
1042	M	35	0
1043	M	25	5
1044	M	25	2
1045	M	25	6
1046	M	25	12
1047	F	18	20
1048	M	18	2
1049	F	18	4
1050	M	25	14
1051	F	50	1
1052	F	18	9
1053	N/A	50	7
1054	F	25	N/A
1055	M	35	7
1056	M	25	7
1057	M	45	17
1058	M	35	20
1059	F	35	2
1060	M	56	13
1061	N/A	25	2
1062	M	25	4
1063	F	18	6
1064	F	N/A	5
1065	M	25	11
1066	M	25	4
1067	M	35	7
1068	M	1	10
1069	M	25	20
1070	M	18	1
1071	M	25	0
1072	N/A	56	1
1073	F	35	0
1074	M	56	N/A
1075	M	35	18
1076	F	N/A	3
1077	F	N/A	15
1078	F	50	13
1079	F	35	15
1080	M	25	17
1081	N/A	56	1
1082	M	50	0
1083	M	N/A	11
1084	M	1	N/A
1085	M	35	19
1086	M	50	11
1087	F	25	9
1088	M	35	2
1089	M	50	1
1090	F	25	16
1091	M	25	11
1092	M	35	14
1093	F	18	2
1094	M	18	4
1095	F	18	10
1096	F	25	0
1097	M	25	1
1098	M	35	N/A
1099	F	56	0
1100	F	N/A	4
1101	F	35	0
1102	F	50	N/A
1103	F	25	1
1104	M	56	13
1105	M	35	2
1106	F	45	2
1107	M	56	14
1108	F	45	16
1109	N/A	35	9
1110	N/A	N/A	4
1111	M	25	4
1112	M	35	20
1113	M	25	0
1114	M	25	11
1115	M	25	0
1116	M	18	N/A
1117	M	45	3
1118	F	50	0
1119	M	25	20
1120	M	18	2
1121	F	35	9
1122	M	1	N/A
1123	M	25	N/A
1124	M	18	N/A
1125	M	56	13
1126	F	18	20
1127	F	25	9
1128	N/A	50	0
1129	M	18	4
1130	M	35	12
1131	M	56	1
1132	F	25	4
1133	F	25	20
1134	M	25	2
1135	M	18	N/A
1136	M	18	4
1137	F	18	N/A
1138	M	56	16
1139	M	18	4
1140	M	56	N/A
1141	M	25	4
1142	F	25	9
1143	M	25	5
1144	F	25	1
1145	F	25	20
1146	M	50	17
1147	M	35	3
1148	M	25	15
1149	F	25	3
1150	F	35	0
1151	N/A	25	0
1152	M	25	0
1153	M	45	16
1154	M	25	N/A
1155	N/A	N/A	6
1156	M	18	1
1157	M	25	7
1158	M	1	10
1159	M	50	17
1160	F	45	2
1161	M	25	0
1162	F	25	14
1163	M	25	0
1164	F	18	4
1165	M	18	N/A
1166	M	35	14
1167	M	25	17
1168	M	45	16
1169	F	45	3
1170	M	25	15
1171	F	56	3
1172	F	25	1
1173	M	35	4
1174	M	35	16
1175	M	35	0
1176	N/A	18	17
1177	M	18	10
1178	F	25	4
1179	F	45	1
1180	N/A	25	20
1181	M	25	17
1182	M	25	20
1183	M	35	7
1184	M	50	N/A
1185	N/A	35	9
1186	M	N/A	0
1187	F	18	20
1188	M	35	7
1189	M	56	7
1190	F	50	14
1191	M	25	18
1192	M	18	4
1193	F	35	0
1194	M	1	N/A
1195	F	18	4
1196	N/A	45	1
1197	M	25	0
1198	F	25	12
1199	M	25	7
1200	M	18	N/A
1201	M	25	7
1202	M	35	7
1203	N/A	25	N/A
1204	M	N/A	N/A
1205	M	35	12
1206	F	25	9
1207	M	18	0
1208	M	25	2
1209	M	18	4
1210	F	25	4
1211	N/A	25	N/A
1212	M	N/A	0
1213	M	N/A	N/A
1214	F	25	3
1215	M	25	5
1216	M	25	20
1217	M	N/A	19
1218	F	N/A	6
1219	M	35	1
1220	M	35	17
1221	F	50	20
1222	M	18	4
1223	M	45	17
1224	M	25	N/A
1225	N/A	25	N/A
1226	M	25	16
1227	M	50	16
1228	M	25	4
1229	N/A	18	4
1230	M	18	4
1231	M	18	4
1232	M	25	2
1233	M	35	17
1234	M	35	13
1235	M	56	11
1236	M	25	7
1237	N/A	18	12
1238	M	25	N/A
1239	M	18	12
1240	M	50	15
1241	M	35	12
1242	M	35	N/A
1243	N/A	25	12
1244	F	35	16
1245	M	56	14
1246	N/A	56	N/A
1247	M	50	16
1248	F	45	7
1249	M	18	10
1250	M	35	N/A
1251	M	25	5
1252	M	N/A	12
1253	M	45	N/A
1254	F	18	4
1255	M	35	7
1256	M	50	7
1257	M	35	0
1258	F	35	14
1259	M	25	3
1260	M	25	7
1261	F	35	0
1262	M	35	17
1263	F	56	1
1264	M	25	1
1265	M	N/A	11
1266	M	35	14
1267	F	25	9
1268	M	25	14
1269	M	N/A	14
1270	N/A	35	N/A
1271	F	18	4
1272	M	25	1
1273	M	N/A	17
1274	F	25	0
1275	F	25	N/A
1276	M	25	2
1277	M	45	6
1278	M	18	12
1279	M	50	0
1280	F	25	2
1281	F	25	4
1282	M	50	17
1283	M	25	4
1284	F	N/A	1
1285	M	25	17
1286	M	18	1
1287	M	25	17
1288	N/A	25	N/A
1289	M	N/A	12
1290	M	25	12
1291	M	N/A	3
1292	M	18	4
1293	M	45	N/A
1294	M	50	11
1295	M	35	17
1296	M	N/A	15
1297	F	18	4
1298	M	25	7
1299	M	50	20
1300	M	50	7
1301	M	45	2
1302	M	N/A	7
1303	M	18	0
1304	M	35	7
1305	F	25	7
1306	M	25	12
1307	N/A	N/A	0
1308	M	35	15
1309	M	25	5
1310	N/A	18	12
1311	M	25	15
1312	N/A	56	13
1313	F	25	20
1314	F	35	7
1315	M	25	1
1316	F	45	11
1317	M	35	18
1318	N/A	45	7
1319	M	35	17
1320	F	45	5
1321	F	25	4
1322	M	25	1
1323	F	35	4
1324	F	25	11
1325	M	35	7
1326	M	18	20
1327	N/A	18	19
1328	M	35	1
1329	N/A	N/A	4
1330	N/A	35	0
1331	M	1	N/A
1332	M	25	4
1333	F	45	1
1334	N/A	25	7
1335	M	35	7
1336	M	35	16
1337	M	25	0
1338	M	18	17
1339	M	18	6
1340	N/A	35	1
1341	M	50	17
1342	M	45	11
1343	N/A	25	16
1344	M	25	4
1345	M	25	12
1346	M	35	1
1347	M	56	N/A
1348	M	35	6
1349	M	50	1
1350	N/A	18	4
1351	N/A	50	15
1352	M	25	2
1353	F	25	4
1354	M	45	N/A
1355	F	25	2
1356	M	45	N/A
1357	M	56	13
1358	M	18	20
1359	M	35	7
1360	M	1	10
1361	M	56	15
1362	F	45	9
1363	M	18	4
1364	M	18	4
1365	M	18	2
1366	F	25	0
1367	N/A	25	12
1368	M	35	14
1369	F	25	17
1370	M	N/A	1
1371	M	25	20
1372	F	25	14
1373	M	18	N/A
1374	M	25	2
1375	F	56	1
1376	F	25	19
1377	N/A	25	2
1378	M	35	1
1379	M	25	15
1380	M	18	20
1381	N/A	25	12
1382	F	45	6
1383	M	25	0
1384	M	50	N/A
1385	M	35	0
1386	M	35	16
1387	N/A	N/A	16
1388	M	25	1
1389	M	N/A	N/A
1390	M	25	4
1391	M	25	5
1392	M	50	2
1393	M	N/A	4
1394	M	45	16
1395	M	45	20
1396	M	25	20
1397	F	25	1
1398	M	35	17
1399	M	35	1
1400	N/A	25	3
1401	M	25	0
1402	F	35	11
1403	M	18	18
1404	M	56	1
1405	M	25	0
1406	F	18	4
1407	M	50	7
1408	M	25	17
1409	M	18	4
1410	M	18	N/A
1411	M	18	11
1412	M	35	8
1413	M	56	13
1414	N/A	35	6
1415	M	35	14
1416	N/A	35	7
1417	M	25	1
1418	M	25	0
1419	F	25	1
1420	M	45	16
1421	F	35	1
1422	F	25	7
1423	F	N/A	19
1424	M	56	16
1425	M	N/A	0
1426	M	35	N/A
1427	F	56	13
1428	F	18	20
1429	F	35	6
1430	M	1	N/A
1431	F	18	4
1432	M	50	16
1433	F	45	3
1434	M	1	10
1435	M	35	7
1436	M	45	14
1437	M	56	0
1438	M	35	7
1439	F	35	7
1440	M	25	17
1441	N/A	25	1
1442	F	35	3
1443	F	N/A	1
1444	M	35	7
1445	M	35	N/A
1446	M	50	7
1447	F	25	1
1448	M	N/A	N/A
1449	M	35	6
1450	N/A	25	1
1451	M	1	10
1452	M	25	6
1453	F	25	4
1454	M	25	N/A
1455	M	45	5
1456	M	35	7
1457	F	25	7
1458	M	35	3
1459	M	18	5
1460	M	45	17
1461	M	25	N/A
1462	M	N/A	7
1463	M	18	4
1464	F	N/A	6
1465	F	25	0
1466	M	56	17
1467	M	50	13
1468	M	25	2
1469	M	25	2
1470	M	45	17
1471	F	35	9
1472	M	N/A	12
1473	F	50	1
1474	F	18	3
1475	F	18	1
1476	N/A	56	8
1477	M	45	1
1478	M	N/A	N/A
1479	M	18	12
1480	M	45	N/A
1481	F	35	7
1482	M	50	N/A
1483	F	18	4
1484	M	35	2
1485	M	35	7
1486	N/A	25	12
1487	N/A	25	17
1488	M	25	N/A
1489	M	56	20
1490	F	56	15
1491	F	45	6
1492	M	56	17
1493	F	35	N/A
1494	M	18	4
1495	M	25	17
1496	M	35	1
1497	N/A	50	7
1498	M	18	4
1499	M	18	4
1500	M	35	20
1501	N/A	25	7
1502	M	1	10
1503	M	25	3
1504	M	25	7
1505	F	45	3
1506	N/A	25	5
1507	F	1	10
1508	M	35	20
1509	M	25	0
1510	M	N/A	5
1511	M	18	N/A
1512	M	25	N/A
1513	F	35	12
1514	F	25	19
1515	M	35	17
1516	M	18	1
1517	M	45	11
1518	M	45	17
1519	M	25	4
1520	N/A	25	17
1521	M	56	20
1522	F	25	12
1523	M	35	5
1524	M	N/A	13
1525	M	18	0
1526	M	25	4
1527	F	18	N/A
1528	F	N/A	18
1529	F	35	9
1530	M	25	14
1531	M	50	1
1532	M	25	11
1533	M	25	6
1534	M	25	15
1535	N/A	35	16
1536	M	35	N/A
1537	M	35	17
1538	F	35	3
1539	M	25	4
1540	M	35	7
1541	M	50	1
1542	M	N/A	2
1543	M	45	16
1544	M	45	N/A
1545	M	18	4
1546	F	25	9
1547	M	56	2
1548	M	56	1
1549	M	18	10
1550	N/A	50	20
1551	M	18	20
1552	F	50	12
1553	M	25	0
1554	M	35	17
1555	F	45	1
1556	F	18	4
1557	M	18	12
1558	F	45	6
1559	N/A	25	14
1560	M	N/A	N/A
